name,macronutrients
"Alcoholic beverage, wine, light","[{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":1.17},{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0.07},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":206},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":49}]"
"Alcoholic beverage, daiquiri, prepared-from-recipe","[{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0.06},{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":777},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0.06},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":6.94},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":186}]"
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 100 proof","[{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":1230},{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":295}]"
"Alcoholic beverage, daiquiri, canned","[{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":523},{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":15.7},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":125}]"
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof","[{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":967},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":231},{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0}]"
A Low-Starch and High-Fiber Diet Intervention Impacts the Microbial Community of Raw Bovine Milk,null
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 86 proof","[{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":0.1},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":250},{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":1050}]"
Abalone,"[{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":21.2},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":6.12},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":7.46},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":177}]"
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 90 proof","[{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":263},{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":1100}]"
"Abiyuch, raw","[{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":290},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":17.6},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":69},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0.1},{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":1.5}]"
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 94 proof","[{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":1150},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":275},{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0}]"
"Acerola juice, raw","[{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":96},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":23},{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0.4},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0.3},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":4.8}]"
"Alcoholic beverage, distilled, rum, 80 proof","[{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":967},{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":231}]"
"Acerola, (west indian cherry), raw","[{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":134},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0.3},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":7.69},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":32},{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0.4}]"
"Alcoholic beverage, distilled, vodka, 80 proof","[{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":231},{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":967}]"
"Alcoholic beverage, distilled, whiskey, 86 proof","[{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":0.1},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":250},{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":0},{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":1050}]"
Acorn stew (Apache),"[{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":6.81},{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":399},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":3.47},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":9.22},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":95}]"
Adequate vitamin B12 and folate status of Norwegian vegans and vegetarians,null
"Alcoholic beverage, liqueur, coffee with cream, 34 proof","[{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":327},{""Nutrient"":""Energy"",""Unit"":""kJ"",""Amount"":1370},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":15.7},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":20.9},{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":2.8}]"
"Adobo, with noodles","[{""Nutrient"":""Protein"",""Unit"":""G"",""Amount"":16.9},{""Nutrient"":""Total lipid (fat)"",""Unit"":""G"",""Amount"":7.66},{""Nutrient"":""Carbohydrate, by difference"",""Unit"":""G"",""Amount"":8.14},{""Nutrient"":""Energy"",""Unit"":""KCAL"",""Amount"":172}]"
